date,24k,24k_change,22k,22k_change
2026-08-05,14684.0,284.0,13460.0,260.0
2026-08-06,14973.0,289.0,13725.0,265.0
2026-08-07,15126.0,153.0,13865.0,140.0
2026-08-08,15235.0,109.0,13965.0,100.0
2026-08-09,15235.0,0.0,13965.0,0.0
2026-08-10,15197.0,-38.0,13930.0,-35.0
2026-08-11,15382.0,185.0,14100.0,170.0
2026-08-12,15486.0,104.0,14195.0,95.0
2026-08-13,15360.0,-126.0,14080.0,-115.0
2026-08-14,15442.0,82.0,14155.0,75.0
2026-08-15,15513.0,71.0,14220.0,65.0
2026-08-16,15513.0,0.0,14220.0,0.0
2026-08-17,15566.0,53.0,14270.0,50.0
2026-08-18,15589.0,23.0,14290.0,20.0
2026-08-19,15497.0,-92.0,14205.0,-85.0
2026-08-20,15927.0,430.0,14600.0,395.0
2026-08-21,15928.0,1.0,14601.0,1.0
